name,number,date_of_birth,age,height,citizenship,position,foot,joined,contract_expires,outfitter,player_id,club_id,country_of_birth,city_of_birth
lucas beraldo,35,2003-11-24,20,1.82,Brazil,Defender - Centre-Back,left,2024-01-01,2028-06-30,Nike,872171,585,Brazil,Piracicaba
ythallo,58,2004-07-22,19,,Brazil,Defender - Centre-Back,,2024-03-01,2024-12-31,,980854,585,Brazil,São Bernardo do Campo
matheus belem,44,2003-03-13,21,1.86,Brazil,Defender - Centre-Back,left,2023-01-01,2026-12-31,adidas,980825,585,Brazil,São Paulo
welington,6,2001-02-19,23,1.75,Brazil,Defender - Left-Back,left,2021-03-01,2024-12-31,adidas,729264,585,Brazil,São Paulo
diego costa,4,1999-07-21,24,1.84,Brazil,Defender - Centre-Back,right,2020-01-01,2028-12-31,,546212,585,Brazil,Campo Grande
nahuel ferraresi,32,1998-11-19,25,1.88,Venezuela,Defender - Centre-Back,right,2024-01-05,2027-12-31,adidas,466336,585,Venezuela,"San Cristóbal, Táchira"
walce,0,1999-02-02,25,1.88,Brazil,Defender - Centre-Back,right,2024-01-01,2024-03-31,,574903,585,Brazil,Cuiabá
alan franco,28,1996-10-11,27,1.83,Argentina,Defender - Centre-Back,right,2023-01-05,2025-12-31,adidas,503343,585,Argentina,Avellaneda
young,50,2002-03-07,22,2.01,Brazil,Goalkeeper,right,2023-01-01,2026-12-31,Puma,894532,585,Brazil,Catanduva
leandro mathias,0,2004-11-14,19,1.87,Brazil,Goalkeeper,,,2025-12-31,,838386,585,,
robert arboleda,5,1991-10-22,32,1.89,Ecuador,Defender - Centre-Back,right,2017-07-05,2027-12-31,Nike,139867,585,Ecuador,Esmeraldas
rafael,23,1989-06-23,34,1.92,Brazil,Goalkeeper,left,2023-01-01,2025-12-31,adidas,68097,585,Brazil,Coronel Fabriciano
jandrei,93,1993-03-01,31,1.86,Brazil,Goalkeeper,right,2022-01-01,2026-12-31,adidas,512344,585,Brazil,Itaqui
giovane,17,2003-11-24,20,1.84,Brazil,Attack - Centre-Forward,left,2022-07-31,2025-06-30,adidas,1005165,199,Brazil,Campinas
arthur sousa,0,2003-03-12,21,1.84,Brazil,Attack - Centre-Forward,right,2024-02-01,2025-09-08,,1005640,199,Brazil,Brasília
yuri alberto,9,2001-03-18,23,1.83,Brazil,Attack - Centre-Forward,right,2023-01-09,2027-12-31,Nike,489893,199,Brazil,São José dos Campos
adson,28,2000-10-06,23,1.71,Brazil,Attack - Right Winger,left,2024-01-24,2027-12-31,adidas,868891,199,Brazil,Araguapaz
chrystian barletta,30,2001-07-05,22,1.78,Brazil,Attack - Right Winger,left,2024-02-21,2028-12-31,Nike,695232,199,Brazil,Limeira
kayke ferrari,11,2004-04-28,20,,Brazil,Attack - Left Winger,right,2022-01-01,2025-03-06,,1082700,199,,
wesley,36,2005-03-05,19,1.8,Brazil,Attack - Left Winger,right,2023-05-10,2027-12-31,Nike,1007378,199,Brazil,São Paulo
biro,26,2004-04-20,20,1.71,Brazil,Attack - Right Winger,left,2023-01-01,2027-12-31,Nike,743590,199,Brazil,Campinas
pedro,24,2006-02-05,18,1.7,Brazil,Attack - Left Winger,right,2024-02-05,2028-12-31,adidas,1004741,199,Brazil,São Paulo
junior moraes,0,1987-04-04,37,1.76,Ukraine,Attack - Centre-Forward,right,2024-05-01,,adidas,52915,199,Brazil,Santos
angel romero,11,1992-07-04,31,1.76,Paraguay,Attack - Left Winger,right,2023-01-01,2024-12-31,Nike,262262,199,Paraguay,Fernando de la Mora
roger guedes,96,1996-10-02,27,1.82,Brazil,Attack - Left Winger,right,2023-08-09,2027-06-30,adidas,348263,199,Brazil,Ibirubá
gustavo silva,19,1997-09-07,26,1.68,Brazil,Attack - Right Winger,right,2019-01-01,2026-06-30,Nike,636314,199,Brazil,Curitiba
felipe alves,27,1988-05-21,36,1.87,Brazil,Goalkeeper,left,2024-01-08,2024-12-31,adidas,189682,585,Brazil,São Paulo
adryan,0,2005-06-18,18,1.84,Brazil,Midfield - Attacking Midfield,left,2024-03-07,2025-01-31,,1099256,199,Brazil,Santo André
matias rojas,7,1995-11-03,28,1.8,Paraguay,Midfield - Attacking Midfield,left,2024-04-23,2024-12-31,,417327,199,Paraguay,Asunción
giuliano,20,1990-05-31,33,1.72,Brazil,Midfield - Attacking Midfield,right,2024-01-01,2024-12-31,Nike,54375,199,Brazil,Curitiba
pedrinho,10,2004-01-01,20,1.7,Brazil,Midfield - Attacking Midfield,right,2022-01-01,2025-02-02,,1005645,199,,
breno bidon,27,2005-02-20,19,1.78,Brazil,Midfield - Central Midfield,left,2024-03-01,2029-02-28,,1029227,199,Brazil,São Paulo
ruan oliveira,33,2000-03-23,24,1.76,Brazil,Midfield - Central Midfield,right,2024-01-01,2024-12-31,,798106,199,Brazil,Paraíso do Norte
matheus araujo,30,2002-05-22,21,1.76,Brazil,Midfield - Attacking Midfield,right,2023-01-01,2024-12-31,adidas,678853,199,Brazil,Osasco
du queiroz,37,2000-01-07,24,1.71,Brazil,Midfield - Central Midfield,right,2024-02-12,2024-12-31,adidas,906774,199,Brazil,São Paulo
ryan,0,2003-07-15,20,1.7,Brazil,Midfield - Defensive Midfield,left,2024-02-01,2026-07-19,,1005642,199,Brazil,São Paulo
paulinho,8,1988-07-25,35,1.83,Brazil,Midfield - Central Midfield,right,2022-01-01,2024-06-30,Mizuno,57229,199,Brazil,São Paulo
renato augusto,20,1988-02-08,36,1.86,Brazil,Midfield - Central Midfield,right,2024-01-05,2025-12-31,Mizuno,53058,199,Brazil,Rio de Janeiro
roni,0,1999-04-15,25,1.74,Brazil,Midfield - Defensive Midfield,right,2024-01-23,2024-12-31,Mizuno,725049,199,Brazil,São Paulo
gabriel moscardo,44,2005-09-28,18,1.85,Brazil,Midfield - Defensive Midfield,right,2024-01-26,2024-06-30,adidas,1086636,199,Brazil,Taubaté
maycon,7,1997-07-15,26,1.75,Brazil,Midfield - Central Midfield,left,2023-01-09,2024-12-31,Nike,421935,199,Brazil,São Paulo
victor cantillo,24,1993-10-15,30,1.8,Colombia,Midfield - Defensive Midfield,right,2024-01-01,2025-01-01,Nike,263032,199,Colombia,Ciénaga
fausto vera,5,2000-03-26,24,1.8,Argentina,Midfield - Defensive Midfield,right,2022-07-26,2026-12-31,Nike,491701,199,Argentina,Hurlingham
leo mana,35,2004-04-06,20,1.79,Brazil,Defender - Right-Back,right,2024-01-01,2026-06-30,,838387,199,Brazil,São Paulo
rafael ramos,6,1995-01-09,29,1.74,Portugal,Defender - Right-Back,right,2024-02-16,2024-12-31,Nike,290388,199,Portugal,Seia
fagner,23,1989-06-11,34,1.68,Brazil,Defender - Right-Back,right,2015-01-01,2024-12-31,adidas,47592,199,Brazil,São Paulo
alemao,14,1998-04-01,26,1.82,Brazil,Attack - Centre-Forward,right,2023-07-17,2024-06-30,Nike,560417,6600,Brazil,Campo Erê
lucca,45,2003-04-02,21,1.8,Brazil,Attack - Centre-Forward,right,2023-01-01,2025-12-31,Nike,982549,6600,Brazil,Fortaleza
luiz adriano,12,1987-04-12,37,1.84,Brazil,Attack - Centre-Forward,right,2024-03-05,2024-12-31,adidas,48974,6600,Brazil,Porto Alegre
enner valencia,13,1989-11-04,34,1.77,Ecuador,Attack - Centre-Forward,right,2023-07-03,2026-06-30,,139503,6600,Ecuador,San Lorenzo
gabriel barros,0,2001-10-25,22,1.82,Brazil,Attack - Right Winger,left,2024-03-07,2024-12-31,,738507,6600,Brazil,São Paulo
jean dias,22,1990-10-22,33,1.7,Brazil,Attack - Right Winger,right,2024-01-01,2024-12-31,,788362,6600,Brazil,Conceição
pedro henrique,16,1990-06-16,33,1.79,Brazil,Attack - Right Winger,right,2024-02-16,2025-12-31,Mizuno,213368,6600,Brazil,Santa Cruz do Sul
wanderson,11,1994-10-07,29,1.75,Brazil,Attack - Left Winger,right,2023-01-01,2025-12-31,Nike,236202,6600,Brazil,São Luís
estevao,0,2002-02-03,22,1.76,Brazil,Midfield - Attacking Midfield,left,2024-01-01,2024-12-31,Nike,982552,6600,Brazil,Amambai
allison,42,2002-02-07,22,1.77,Brazil,Midfield - Attacking Midfield,right,2023-01-31,2026-06-30,,982551,6600,Brazil,São Leopoldo
mauricio,27,2001-06-22,22,1.74,Brazil,Midfield - Attacking Midfield,left,2020-11-06,2027-12-31,Nike,678439,6600,Brazil,São Paulo
alan patrick,10,1991-05-13,33,1.77,Brazil,Midfield - Attacking Midfield,right,2022-04-11,2026-12-31,adidas,104505,6600,Brazil,São Paulo
lucas ramos,16,2001-01-03,23,1.73,Brazil,Midfield - Central Midfield,right,2024-02-01,2024-12-31,adidas,689507,6600,Brazil,Sarandí
baralhas,0,1998-10-10,25,1.78,Brazil,Midfield - Central Midfield,right,2023-07-18,2024-12-31,Nike,552242,6600,Brazil,Botucatu
bruno henrique,8,1989-10-21,34,1.8,Brazil,Midfield - Central Midfield,right,2023-07-19,2025-12-31,,277335,6600,Brazil,Apucarana
carlos de pena,14,1992-03-11,32,1.77,Uruguay,Midfield - Central Midfield,left,2024-04-11,2024-12-31,adidas,257740,6600,Uruguay,Montevideo
charles aranguiz,20,1989-04-17,35,1.71,Chile,Midfield - Central Midfield,right,2023-04-02,2025-06-30,Nike,89701,6600,Chile,Puente Alto
matheus dias,41,2002-05-09,22,1.87,Brazil,Midfield - Defensive Midfield,right,2022-01-01,2027-12-31,Nike,815384,6600,Brazil,São Paulo
romulo,40,2000-03-01,24,1.82,Brazil,Midfield - Defensive Midfield,right,2024-01-14,2027-12-31,,687359,6600,Brazil,Campo Grande
campanharo,0,1992-04-04,32,1.78,Brazil,Midfield - Defensive Midfield,right,2024-03-06,2024-12-31,Nike,103674,6600,Brazil,Caxias do Sul
johnny cardoso,4,2001-09-20,22,1.86,United States,Midfield - Defensive Midfield,right,2024-01-01,2029-06-30,Nike,689505,6600,United States,"Denville, New Jersey"
hugo mallo,2,1991-06-22,32,1.73,Spain,Defender - Right-Back,right,2023-08-14,2024-07-31,,119905,6600,Spain,Marín
gabriel,3,1992-07-10,31,1.71,Brazil,Midfield - Defensive Midfield,right,2024-04-19,2024-12-31,Nike,213606,6600,Brazil,Campinas
fabricio bustos,16,1996-04-28,28,1.67,Argentina,Defender - Right-Back,right,2022-02-23,2024-12-31,adidas,275381,6600,Argentina,Ucacha
mario fernandes,6,1990-09-19,33,1.89,Russia,Defender - Right-Back,right,2023-07-17,2025-06-30,Nike,102740,6600,Brazil,São Caetano do Sul
thauan lara,36,2004-01-22,20,1.76,Brazil,Defender - Left-Back,left,2024-03-07,2024-12-31,adidas,749557,6600,Brazil,Porto Alegre
rene,6,1992-09-14,31,1.74,Brazil,Defender - Left-Back,left,2022-04-11,2024-12-31,adidas,212209,6600,Brazil,Picos
rangel,16,2004-04-30,20,1.77,Brazil,Defender - Left-Back,left,2023-09-15,2024-06-30,,980767,6600,Brazil,Rebouças
dalbert,29,1993-09-08,30,1.81,Brazil,Defender - Left-Back,left,2024-04-17,2024-12-31,,312862,6600,Brazil,Barra Mansa
joao dalla corte,0,2006-06-07,17,1.78,Brazil,Defender - Centre-Back,left,2024-01-01,2025-12-31,,1004735,6600,Brazil,Encruzilhada do Sul
felipe motta,52,2003-08-03,20,1.87,Brazil,Defender - Centre-Back,,2024-02-23,2025-06-30,,1083638,6600,Brazil,Rio de Janeiro
igor gomes,3,2001-03-06,23,1.85,Brazil,Defender - Centre-Back,right,2022-08-05,2024-12-31,Nike,689640,6600,Brazil,Barra Mansa
gabriel mercado,25,1987-03-18,37,1.8,Argentina,Defender - Centre-Back,right,2021-07-05,2024-12-31,Nike,45319,6600,Argentina,Puerto Madryn
nicolas hernandez,2,1998-01-18,26,1.85,Colombia,Defender - Centre-Back,left,2024-01-12,2024-12-31,Nike,643750,6600,Colombia,Villavicencio
rodrigo moledo,0,1987-10-27,36,1.88,Brazil,Defender - Centre-Back,right,2024-01-01,,Nike,119434,6600,Brazil,Rio de Janeiro
anthoni,24,2002-01-23,22,1.93,Brazil,Goalkeeper,right,2023-01-01,2024-12-31,Nike,869437,6600,Brazil,Canela
vitao,44,2000-02-02,24,1.85,Brazil,Defender - Centre-Back,right,2022-04-08,2024-06-30,adidas,428783,6600,Brazil,Jacarezinho
keiller,13,1996-10-29,27,1.93,Brazil,Goalkeeper,right,2024-02-05,2024-12-31,,417084,6600,Brazil,Eldorado do Sul
john victor,12,1996-02-13,28,1.97,Brazil,Goalkeeper,right,2024-01-04,2027-06-30,adidas,432914,6600,Brazil,Diadema
emerson junior,0,2000-02-07,24,1.96,Brazil,Goalkeeper,right,2024-01-01,2024-12-31,,813038,6600,Brazil,Estância Velha
sergio rochet,1,1993-03-23,31,1.9,Uruguay,Goalkeeper,right,2023-07-13,2026-12-31,,264014,6600,Uruguay,Nueva Palmira
vitor meer,6,2004-06-21,19,1.76,Brazil,Defender - Left-Back,left,2022-01-01,2025-02-16,Nike,970339,199,Brazil,Itaquaquecetuba
murillo,40,2002-07-04,21,1.84,Brazil,Defender - Centre-Back,left,2023-08-31,2028-06-30,Nike,1005649,199,Brazil,São Paulo
tchoca,0,2003-12-31,20,1.92,Brazil,Defender - Centre-Back,right,2024-02-01,2025-03-21,,1005650,199,Brazil,Sete Lagoas
fabio santos,0,1985-09-16,38,1.79,Brazil,Defender - Left-Back,left,2024-01-01,,Nike,13835,199,Brazil,São Paulo
renato santos,4,2004-10-11,19,1.88,Brazil,Defender - Centre-Back,right,2022-01-01,2025-12-31,adidas,743831,199,Brazil,Vitória da Conquista
caetano,4,1999-06-24,24,1.82,Brazil,Defender - Centre-Back,left,2023-01-01,2024-12-31,Nike,625345,199,Brazil,Rio de Janeiro
giltm,4,1987-06-12,36,1.92,Brazil,Defender - Centre-Back,right,2024-01-01,2024-12-31,Nike,101469,199,Brazil,Campos dos Goytacazes
matheus bidu,21,1999-05-04,25,1.72,Brazil,Defender - Left-Back,left,2023-01-01,2025-12-31,Nike,670021,199,Brazil,São Paulo
bruno mendez,2,1999-09-10,24,1.8,Uruguay,Defender - Centre-Back,right,2024-01-01,2027-06-30,adidas,552912,199,Uruguay,Montevideo
lucas verissimo,5,1995-07-02,28,1.88,Brazil,Defender - Centre-Back,right,2024-01-25,,Puma,411662,199,Brazil,Jundiaí
fabian balbuena,3,1991-08-23,32,1.89,Paraguay,Defender - Centre-Back,right,2021-07-09,2025-06-30,adidas,285548,199,Paraguay,Ciudad del Este
kaue camargo,0,2004-02-08,20,1.92,Brazil,Goalkeeper,right,2022-01-01,2025-12-31,Uhlsport,1005653,199,Brazil,Santa Cruz do Rio Pardo
carlos miguel,22,1998-10-09,25,2.04,Brazil,Goalkeeper,left,2021-08-31,2025-12-31,Nike,641458,199,Brazil,Cardoso Moreira
matheus nascimento,90,2004-03-03,20,1.82,Brazil,Attack - Centre-Forward,right,2020-07-01,2025-12-31,Nike,743594,537,Brazil,Rio de Janeiro
tiquinho soares,9,1991-01-17,33,1.87,Brazil,Attack - Centre-Forward,right,2022-08-12,2024-12-31,Puma,103381,537,Brazil,Sousa
matheus donelli,32,2002-05-17,22,1.87,Brazil,Goalkeeper,right,2021-03-01,2025-12-31,Puma,708723,199,Brazil,São Paulo
sebastian joffre,70,1999-08-21,24,1.75,Bolivia,Attack - Centre-Forward,,2024-03-12,2024-12-31,,663315,537,Bolivia,Portachuelo
diego costa,19,1988-10-07,35,1.86,Spain,Attack - Centre-Forward,right,2024-02-08,2024-12-31,adidas,44779,537,Brazil,Lagarto
cassio,0,1987-06-06,36,1.95,Brazil,Goalkeeper,left,2024-05-17,,Nike,50144,199,Brazil,Veranópolis
iago,0,2002-01-28,22,1.76,Brazil,Attack - Right Winger,right,2022-07-01,,,627234,537,Brazil,Agua Branca
darius lewis,0,1999-11-10,24,1.7,Trinidad and Tobago,Attack - Right Winger,right,2022-04-14,,,644884,537,United States,"Port St. Lucie, Florida"
luis phelipe,19,2001-02-12,23,1.78,Brazil,Attack - Right Winger,right,2024-01-01,2028-06-30,,673830,537,Brazil,Santos
matias segovia,80,2003-01-04,21,1.65,Paraguay,Attack - Right Winger,left,2024-02-01,2024-06-30,Puma,718307,537,Paraguay,Caaguazú
carlos alberto,89,2002-04-14,22,1.81,Brazil,Attack - Right Winger,right,2024-01-10,2024-06-30,adidas,727747,537,Brazil,João Pessoa
victor sa,7,1994-03-27,30,1.78,Brazil,Attack - Left Winger,both,2024-02-22,2025-06-30,adidas,381724,537,Brazil,São José dos Campos
gustavo sauer,11,1993-04-30,31,1.81,Brazil,Attack - Right Winger,left,2023-08-18,2024-06-30,Nike,336158,537,Brazil,Joinville
junior santos,11,1994-10-11,29,1.88,Brazil,Attack - Right Winger,right,2023-03-31,2025-12-31,Nike,592347,537,Brazil,Conceição do Jacuípe
jacob montes,32,1998-10-20,25,1.8,Nicaragua,Midfield - Attacking Midfield,right,2022-08-12,2024-12-31,adidas,497494,537,United States,"Mission Viejo, California"
dudu,0,2002-07-17,21,1.74,Brazil,Midfield - Attacking Midfield,,2024-03-01,,,1083607,537,,
raitm,16,2002-04-21,22,1.75,Brazil,Midfield - Attacking Midfield,left,2024-04-19,2024-12-31,Nike,978146,537,Brazil,Duque de Caxias
caio vitor,0,2000-08-18,23,1.8,Brazil,Midfield - Attacking Midfield,right,2024-04-18,,,860325,537,Brazil,Angra dos Reis
luis henrique,44,2001-12-14,22,1.81,Brazil,Attack - Left Winger,right,2020-09-25,2025-06-30,adidas,691316,537,Brazil,João Pessoa
lucas fernandes,18,1997-09-20,26,1.75,Brazil,Midfield - Attacking Midfield,right,2024-01-18,2024-12-31,adidas,430761,537,Brazil,São Bernardo do Campo
diego hernandez,77,2000-06-22,23,1.75,Uruguay,Midfield - Attacking Midfield,left,2023-07-03,2026-12-31,adidas,800732,537,Uruguay,Montevideo
eduardo,33,1989-10-17,34,1.84,Brazil,Midfield - Attacking Midfield,right,2022-07-18,2024-12-31,Nike,110078,537,Brazil,Ribeirão Preto
bernardo valim,0,2006-01-30,18,1.86,Brazil,Midfield - Central Midfield,,,,,1004724,537,Brazil,Niterói
kaue,25,2004-10-22,19,1.76,Brazil,Midfield - Central Midfield,right,2024-01-01,2026-03-31,Nike,834467,537,Brazil,Quissamã
gabriel pires,22,1993-09-18,30,1.87,Brazil,Midfield - Central Midfield,left,2024-01-20,2025-12-31,Nike,167291,537,Brazil,Rio de Janeiro
patrick de paula,8,1999-09-08,24,1.78,Brazil,Midfield - Central Midfield,left,2022-03-25,2026-12-31,adidas,737821,537,Brazil,Rio de Janeiro
romildo del piage,23,2000-04-12,24,1.83,Brazil,Midfield - Central Midfield,right,2023-01-31,2025-06-30,,742023,537,Brazil,São José dos Campos
lucas piazon,38,1994-01-20,30,1.82,Brazil,Midfield - Attacking Midfield,right,2021-01-15,2025-06-30,Nike,176485,537,Brazil,São Paulo
tche tche,6,1992-08-30,31,1.75,Brazil,Midfield - Central Midfield,both,2022-04-11,2025-12-31,Nike,364261,537,Brazil,São Paulo
danilo barbosa,5,1996-02-28,28,1.83,Brazil,Midfield - Central Midfield,right,2022-08-12,2025-06-30,Nike,273438,537,Brazil,Simões Filho
wendel lessa,0,2002-02-06,22,1.76,Brazil,Midfield - Defensive Midfield,right,2024-01-01,2024-10-31,,740050,537,Brazil,Rio de Janeiro
newton,8,2000-03-12,24,1.88,Brazil,Midfield - Defensive Midfield,right,2024-04-18,2024-12-31,,811219,537,Brazil,Salvador
kayque,0,2000-07-12,23,1.76,Brazil,Midfield - Defensive Midfield,right,2024-03-07,2024-12-31,Nike,813037,537,Brazil,Rio de Janeiro
jp galvao,57,2001-05-07,23,1.84,Brazil,Defender - Right-Back,right,2024-04-12,2024-12-31,,982164,537,Brazil,Rio de Janeiro
marlon freitas,17,1995-03-27,29,1.85,Brazil,Midfield - Defensive Midfield,right,2023-01-01,2025-12-31,Nike,364972,537,Brazil,Magé
breno,0,2000-09-01,23,1.77,Brazil,Midfield - Defensive Midfield,right,2024-05-03,2024-12-31,Nike,697400,537,Brazil,Santana
vitor marinho,0,2001-07-12,22,1.81,Brazil,Defender - Right-Back,both,2024-01-01,2024-12-31,,815670,537,Brazil,Porto Real
ryan,0,2003-04-29,21,1.88,Brazil,Defender - Right-Back,right,2024-03-15,,,964596,537,Brazil,Itaboraí
wallison,0,2001-07-24,22,1.77,Brazil,Defender - Right-Back,right,2024-01-01,2024-12-31,,682134,537,Brazil,São Paulo
mateo ponte,4,2003-05-24,20,1.83,Uruguay,Defender - Right-Back,right,2023-08-02,2026-12-31,,856047,537,Uruguay,Montevideo
dgtm,0,2001-03-29,23,1.81,Brazil,Defender - Left-Back,left,2024-04-24,,,973499,537,Brazil,Tucuruí
daniel borges,20,1993-03-23,31,1.74,Brazil,Defender - Right-Back,right,2023-07-03,2024-12-31,Nike,276877,537,Brazil,São José dos Campos
rafael,2,1990-07-09,33,1.72,Brazil,Defender - Right-Back,right,2021-09-01,2024-12-31,Nike,61892,537,Brazil,Petrópolis
hugo,16,2001-09-20,22,1.75,Brazil,Defender - Left-Back,left,2022-01-01,2026-12-31,Nike,740157,537,Brazil,João Pessoa
leonel di placido,26,1994-01-28,30,1.76,Argentina,Defender - Right-Back,right,2017-08-24,2026-12-31,Nike,322843,537,Argentina,Buenos Aires
matheus cabral,0,1999-04-23,25,1.89,Brazil,Defender - Centre-Back,right,,,,688873,537,Brazil,Salvador
henrique vermudt,0,1999-02-25,25,1.85,Brazil,Defender - Centre-Back,right,2023-10-18,2024-12-31,,653608,537,Brazil,Cascavel
marcal,21,1989-02-19,35,1.78,Brazil,Defender - Left-Back,left,2022-07-18,2024-12-31,adidas,137745,537,Brazil,São Paulo
lucas mezenga,44,2001-10-20,22,1.88,Brazil,Defender - Centre-Back,right,2023-08-20,,Nike,868357,537,Brazil,Rio de Janeiro
david sousa,43,2001-07-04,22,1.9,Brazil,Defender - Centre-Back,left,2024-01-15,2024-06-30,,740159,537,Brazil,Rio de Janeiro
philipe sampaio,94,1994-11-11,29,1.91,Brazil,Defender - Centre-Back,right,2024-01-16,2024-06-30,Puma,336697,537,Brazil,São Paulo
luis segovia,44,1997-10-26,26,1.82,Ecuador,Defender - Centre-Back,left,2023-01-11,2025-12-31,Puma,385639,537,Ecuador,Quito
joel carli,0,1986-10-19,37,1.93,Argentina,Defender - Centre-Back,right,2023-07-01,,Nike,87323,537,Argentina,Mar del Plata
adryelson,14,1998-03-23,26,1.82,Brazil,Defender - Centre-Back,right,2024-01-05,2028-06-30,Nike,373433,537,Brazil,Barão de Grajaú
victor cuesta,15,1988-11-19,35,1.87,Argentina,Defender - Centre-Back,left,2024-01-23,2024-12-31,Nike,104326,537,Argentina,La Plata
bastos,15,1991-03-27,33,1.8,Angola,Defender - Centre-Back,right,2023-08-29,2024-12-31,,195810,537,Angola,Luanda
joao fernando,0,2001-03-01,23,1.88,Brazil,Goalkeeper,right,,2024-12-31,,432146,537,Brazil,Volta Redonda
leandro matheus,0,2001-01-28,23,1.91,Brazil,Goalkeeper,left,2023-03-31,,,837529,537,Brazil,Salvador
igo gabriel,0,2001-10-13,22,1.9,Brazil,Goalkeeper,right,2024-04-13,2024-12-31,adidas,698750,537,Brazil,Maceió
agner,0,2005-03-22,19,,Brazil,Attack,,,2025-12-31,,1094614,2462,,
douglas borges,31,1990-03-30,34,1.88,Brazil,Goalkeeper,right,2023-07-14,2024-12-31,Nike,101667,537,Brazil,Franca
kaua elias,19,2006-03-28,18,1.81,Brazil,Attack - Centre-Forward,right,2024-01-01,2026-12-31,,1119009,2462,Brazil,Uberlândia
lucas perri,23,1997-12-10,26,1.97,Brazil,Goalkeeper,right,2024-01-05,2028-06-30,adidas,352041,537,Brazil,Campinas
gatito fernandez,1,1988-03-29,36,1.91,Paraguay,Goalkeeper,right,2017-01-01,2024-12-31,Puma,107318,537,Paraguay,Asunción
alan,11,1989-07-10,34,1.78,China,Attack - Centre-Forward,right,2024-02-24,2024-12-31,Nike,73460,2462,Brazil,Barbosa
willian,27,1986-11-19,37,1.71,Brazil,Attack - Centre-Forward,right,2024-01-01,2024-12-31,Puma,55338,2462,Brazil,Três Fronteiras
jhon arias,21,1997-09-21,26,1.68,Colombia,Attack - Right Winger,right,2021-08-18,2026-06-30,adidas,588989,2462,Colombia,Quibdó
john kennedy,9,2002-05-18,22,1.73,Brazil,Attack - Centre-Forward,right,2021-01-01,2026-12-31,adidas,856085,2462,Brazil,Itaúna
yony gonzalez,0,1994-07-11,29,1.84,Colombia,Attack - Right Winger,right,2024-02-29,2024-12-31,,262474,2462,Colombia,Medellín
german cano,14,1988-02-02,36,1.76,Argentina,Attack - Centre-Forward,right,2022-01-13,2025-12-31,adidas,54590,2462,Argentina,Posadas
alexandre jesus,3,2001-09-16,22,1.84,Brazil,Attack - Left Winger,right,2023-01-01,2025-12-31,adidas,739439,2462,Brazil,Nova Lima
joao neto,35,2003-07-10,20,1.81,Brazil,Attack - Left Winger,,2024-03-07,2024-12-31,,875339,2462,Brazil,Livramento de Nossa Senhora
isaac,32,2004-04-24,20,1.7,Brazil,Attack - Left Winger,right,2024-01-01,2027-12-31,,1084667,2462,Brazil,Teresina
matheus reis,0,2007-04-02,17,1.8,Mexico,Attack - Left Winger,right,,,,1124296,2462,Mexico,Mexico City
giovanni,0,2002-01-31,22,1.76,Brazil,Attack - Left Winger,right,2024-02-28,,Nike,573131,2462,Brazil,Bauru
keno,11,1989-09-10,34,1.74,Brazil,Attack - Left Winger,right,2023-01-01,2025-12-31,Nike,346065,2462,Brazil,Salvador
arthur,28,2005-02-24,19,1.73,Brazil,Midfield - Attacking Midfield,left,2024-01-01,2026-06-30,Nike,743585,2462,Brazil,Nova Friburgo
gabriel pirani,10,2002-04-12,22,1.7,Brazil,Midfield - Attacking Midfield,right,2024-01-01,2025-12-31,Nike,813107,2462,Brazil,Penápolis
ganso,10,1989-10-12,34,1.84,Brazil,Midfield - Attacking Midfield,left,2019-01-31,2025-12-31,,67920,2462,Brazil,Ananindeua
marrony,38,1999-02-05,25,1.86,Brazil,Attack - Right Winger,left,2021-08-20,2026-06-30,adidas,599879,2462,Brazil,Volta Redonda
michel araujo,15,1996-09-28,27,1.78,Uruguay,Midfield - Attacking Midfield,left,2023-03-30,2024-12-31,Nike,482144,2462,Uruguay,Colonia del Sacramento
lima,45,1996-06-11,27,1.81,Brazil,Midfield - Attacking Midfield,right,2023-01-01,2025-12-31,Nike,387611,2462,Brazil,Porto Alegre
leonardo fernandez,8,1998-11-08,25,1.66,Uruguay,Midfield - Attacking Midfield,left,2024-01-17,2024-07-31,,375610,2462,Uruguay,Montevideo
thiago henrique,0,2004-04-27,20,,Brazil,Midfield - Defensive Midfield,,,,,1086260,2462,,
joao lourenco,0,2005-07-15,18,,Brazil,Midfield,,,2026-06-30,,1089611,2462,,
danielzinho,0,1996-01-11,28,1.73,Brazil,Midfield - Central Midfield,right,2024-02-09,2024-12-31,Nike,418530,2462,Brazil,Rio de Janeiro
alexsander,5,2003-10-08,20,1.78,Brazil,Midfield - Defensive Midfield,left,2023-01-01,2026-12-31,Nike,997714,2462,Brazil,Barra de Santa Rosa
edinho,0,2001-08-23,22,1.71,Brazil,Midfield - Defensive Midfield,right,,,,994621,2462,Brazil,Brasília
dohmann,0,2005-03-15,19,,Brazil,Midfield - Defensive Midfield,,2023-01-01,2027-12-30,,1089610,2462,,
yago felipe,20,1995-02-03,29,1.74,Brazil,Midfield - Central Midfield,right,2023-02-28,2025-12-31,adidas,346935,2462,Brazil,Limoeiro do Norte
freitas,0,2003-03-04,21,1.78,Brazil,Midfield - Defensive Midfield,right,2023-02-01,2026-12-31,,1064930,2462,Brazil,Aracati
martinelli,8,2001-10-05,22,1.76,Brazil,Midfield - Defensive Midfield,right,2020-07-01,2026-12-31,,815558,2462,Brazil,Presidente Prudente
